"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2115","get started link","firefox","Tue Oct 22 12:20:42 BDT 2024","passed","Tue Oct 22 12:20:44 BDT 2024","","example.spec.js","",""
"","21067","verify signup url Test","Setup (login)","Mon Oct 21 22:26:22 BDT 2024","passed","Mon Oct 21 22:26:43 BDT 2024","","logInTest.spec.js","",""
"","8808","verify signup url Test","chromium","Thu Oct 24 10:49:42 BDT 2024","passed","Thu Oct 24 10:49:51 BDT 2024","","logInTest.spec.js","",""
"","7982","verify signup url Test","firefox","Thu Oct 24 13:00:39 BDT 2024","passed","Thu Oct 24 13:00:47 BDT 2024","","logInTest.spec.js","",""
"","7385","Verify Create New Article","Microsoft Edge","Wed Oct 30 22:21:53 BDT 2024","passed","Wed Oct 30 22:22:01 BDT 2024","","articleCreateTest.spec.js","",""
"","10899683","verify signup url Test","webkit","Tue Oct 22 23:56:03 BDT 2024","broken","Wed Oct 23 02:57:42 BDT 2024","","logInTest.spec.js","",""
"","1630","has title","firefox","Tue Oct 22 12:20:39 BDT 2024","passed","Tue Oct 22 12:20:41 BDT 2024","","example.spec.js","",""
"","30443","Verify Create New Article Button on Navbar","webkit","Tue Oct 22 23:55:26 BDT 2024","broken","Tue Oct 22 23:55:57 BDT 2024","","articleCreateTest.spec.js","",""
"","29452","Verify Create New Article Button on Navbar","Microsoft Edge","Thu Oct 24 13:29:25 BDT 2024","passed","Thu Oct 24 13:29:54 BDT 2024","","articleCreateTest.spec.js","",""
"","28597","Verify Create New Article","Article Tests","Thu Oct 24 13:32:32 BDT 2024","failed","Thu Oct 24 13:33:01 BDT 2024","","articleCreateTest.spec.js","",""
"","11894","verify signup url Test","Auth Setup (login)","Tue Oct 22 23:39:23 BDT 2024","passed","Tue Oct 22 23:39:35 BDT 2024","","logInTest.spec.js","",""
"","79094","verify signup url Test","Microsoft Edge","Thu Oct 24 13:38:25 BDT 2024","failed","Thu Oct 24 13:39:45 BDT 2024","","logInTest.spec.js","",""
"","6976","Verify Create New Article","Article Tests","Wed Oct 30 22:21:53 BDT 2024","passed","Wed Oct 30 22:22:00 BDT 2024","","articleCreateTest.spec.js","",""
"","1075","has title","webkit","Tue Oct 22 12:20:44 BDT 2024","passed","Tue Oct 22 12:20:45 BDT 2024","","example.spec.js","",""
"","25331","Verify Create New Article Button on Navbar","chromium","Thu Oct 24 11:18:44 BDT 2024","failed","Thu Oct 24 11:19:10 BDT 2024","","articleCreateTest.spec.js","",""
"","8864","verify signup url Test","Auth","Wed Oct 30 22:21:42 BDT 2024","passed","Wed Oct 30 22:21:51 BDT 2024","","logInTest.spec.js","",""
"","25053","Verify Create New Article","Microsoft Edge","Thu Oct 24 13:29:55 BDT 2024","failed","Thu Oct 24 13:30:20 BDT 2024","","articleCreateTest.spec.js","",""
"","16167","Verify Create New Article Button on Navbar","Article Tests","Thu Oct 24 13:32:16 BDT 2024","passed","Thu Oct 24 13:32:32 BDT 2024","","articleCreateTest.spec.js","",""
"","1163","has title","chromium","Tue Oct 22 12:20:36 BDT 2024","passed","Tue Oct 22 12:20:38 BDT 2024","","example.spec.js","",""
"","1447","get started link","webkit","Tue Oct 22 12:20:46 BDT 2024","passed","Tue Oct 22 12:20:48 BDT 2024","","example.spec.js","",""
"","1474","get started link","chromium","Tue Oct 22 12:20:36 BDT 2024","passed","Tue Oct 22 12:20:38 BDT 2024","","example.spec.js","",""
"","82852","Verify Create New Article Button on Navbar","firefox","Thu Oct 24 13:00:39 BDT 2024","failed","Thu Oct 24 13:02:02 BDT 2024","","articleCreateTest.spec.js","",""
